ID,Legajo,Nombre y Apellido,Parcial 1,Parcial 2,Parcial 3,Condición Final
1,OK,MAL,OK,OK,OK,OK
2,MAL,OK,OK,OK,MAL,OK
3,MAL,MAL,OK,OK,OK,OK
4,MAL,MAL,OK,OK,OK,MAL
5,MAL,OK,OK,OK,OK,OK
6,OK,MAL,OK,OK,MAL,OK
7,OK,OK,OK,OK,OK,MAL
8,OK,MAL,OK,OK,OK,OK
9,OK,MAL,OK,OK,OK,OK
10,OK,OK,MAL,OK,MAL,MAL
11,OK,OK,MAL,MAL,MAL,MAL
12,OK,OK,OK,OK,OK,MAL
13,MAL,MAL,MAL,OK,OK,OK
14,OK,OK,MAL,OK,OK,OK
15,OK,MAL,OK,OK,OK,OK
16,OK,MAL,OK,OK,OK,OK
17,MAL,OK,OK,OK,MAL,OK
18,MAL,MAL,MAL,MAL,MAL,MAL
19,MAL,MAL,MAL,MAL,MAL,MAL
20,MAL,MAL,MAL,MAL,MAL,MAL
