Hoja,Id,Legajo,Nombre_apellido,Parcial_1,Parcial_2,Parcial_3,Condicion_final,Registro_valido
1,1,OK,OK,OK,OK,OK,OK,True
1,2,OK,OK,OK,OK,OK,OK,True
1,3,MAL,MAL,MAL,MAL,MAL,MAL,False
1,4,OK,OK,OK,OK,OK,OK,True
1,5,OK,OK,OK,OK,OK,OK,True
1,6,OK,OK,OK,OK,OK,OK,True
1,7,OK,OK,OK,OK,OK,OK,True
1,8,OK,OK,OK,OK,OK,OK,True
1,9,OK,OK,OK,OK,OK,OK,True
1,10,OK,OK,OK,OK,OK,OK,True
1,11,MAL,MAL,MAL,MAL,MAL,MAL,False
1,12,OK,OK,OK,OK,OK,OK,True
1,13,OK,OK,OK,OK,OK,OK,True
1,14,MAL,MAL,MAL,MAL,MAL,MAL,False
1,15,MAL,MAL,MAL,MAL,MAL,MAL,False
1,16,OK,OK,OK,OK,OK,OK,True
1,17,OK,OK,OK,OK,OK,OK,True
1,18,OK,OK,OK,OK,OK,OK,True
1,19,OK,OK,OK,OK,OK,OK,True
1,20,MAL,MAL,MAL,MAL,MAL,MAL,False
2,1,OK,MAL,OK,OK,OK,OK,False
2,2,OK,OK,OK,OK,OK,OK,True
2,3,MAL,MAL,OK,OK,OK,OK,False
2,4,MAL,OK,OK,OK,OK,OK,False
2,5,OK,OK,OK,OK,OK,OK,True
2,6,OK,OK,OK,OK,MAL,OK,False
2,7,MAL,OK,OK,OK,OK,MAL,False
2,8,OK,OK,OK,OK,OK,OK,True
2,9,OK,MAL,OK,OK,OK,OK,False
2,10,OK,OK,MAL,OK,MAL,MAL,False
2,11,OK,OK,MAL,MAL,MAL,MAL,False
2,12,OK,OK,OK,OK,OK,MAL,False
2,13,MAL,MAL,MAL,OK,OK,OK,False
2,14,MAL,MAL,MAL,MAL,MAL,MAL,False
2,15,MAL,MAL,MAL,MAL,MAL,MAL,False
2,16,OK,MAL,MAL,OK,OK,OK,False
2,17,OK,OK,OK,OK,OK,MAL,False
2,18,OK,MAL,OK,OK,OK,OK,False
2,19,MAL,OK,OK,OK,MAL,OK,False
2,20,MAL,MAL,MAL,MAL,MAL,MAL,False
3,1,OK,MAL,OK,OK,OK,OK,False
3,2,OK,OK,OK,OK,MAL,OK,False
3,3,MAL,MAL,OK,OK,OK,OK,False
3,4,MAL,OK,OK,OK,OK,MAL,False
3,5,MAL,OK,OK,OK,OK,OK,False
3,6,OK,MAL,OK,OK,MAL,OK,False
3,7,MAL,OK,OK,OK,OK,MAL,False
3,8,OK,MAL,OK,OK,OK,OK,False
3,9,OK,OK,OK,OK,OK,OK,True
3,10,OK,OK,MAL,OK,MAL,MAL,False
3,11,OK,OK,MAL,MAL,MAL,MAL,False
3,12,OK,OK,OK,OK,OK,MAL,False
3,13,MAL,MAL,MAL,OK,OK,OK,False
3,14,OK,OK,MAL,OK,OK,OK,False
3,15,OK,OK,OK,MAL,OK,OK,False
3,16,OK,MAL,OK,OK,OK,OK,False
3,17,MAL,OK,OK,OK,MAL,OK,False
3,18,MAL,MAL,MAL,MAL,MAL,MAL,False
3,19,MAL,MAL,MAL,MAL,MAL,MAL,False
3,20,MAL,MAL,MAL,MAL,MAL,MAL,False
4,1,OK,MAL,OK,OK,OK,OK,False
4,2,OK,OK,MAL,OK,OK,OK,False
4,3,OK,MAL,OK,OK,OK,OK,False
4,4,MAL,OK,OK,OK,OK,OK,False
4,5,OK,OK,OK,MAL,OK,OK,False
4,6,OK,OK,OK,OK,OK,OK,True
4,7,OK,OK,OK,OK,OK,OK,True
4,8,MAL,OK,OK,OK,OK,OK,False
4,9,OK,MAL,OK,OK,OK,OK,False
4,10,OK,OK,OK,MAL,MAL,MAL,False
4,11,OK,OK,OK,OK,MAL,MAL,False
4,12,OK,OK,OK,OK,OK,OK,True
4,13,OK,OK,OK,OK,OK,MAL,False
4,14,MAL,MAL,MAL,MAL,MAL,MAL,False
4,15,MAL,MAL,MAL,MAL,MAL,MAL,False
4,16,OK,MAL,OK,OK,OK,OK,False
4,17,OK,OK,OK,OK,OK,OK,True
4,18,OK,OK,OK,OK,OK,OK,True
4,19,OK,OK,OK,OK,OK,OK,True
4,20,MAL,MAL,MAL,MAL,MAL,MAL,False
