ID,Legajo,Nombre y Apellido,Parcial 1,Parcial 2,Parcial 3,Condición Final
1,OK,OK,OK,OK,OK,OK
2,MAL,OK,OK,OK,OK,OK
3,MAL,MAL,MAL,MAL,MAL,MAL
4,OK,OK,OK,OK,OK,OK
5,OK,OK,OK,OK,OK,OK
6,OK,MAL,OK,OK,OK,OK
7,OK,OK,OK,OK,OK,OK
8,OK,MAL,OK,OK,OK,OK
9,OK,OK,OK,OK,OK,OK
10,OK,OK,OK,OK,OK,OK
11,MAL,MAL,MAL,MAL,MAL,MAL
12,OK,OK,OK,OK,OK,OK
13,OK,OK,OK,OK,OK,OK
14,MAL,MAL,MAL,MAL,MAL,MAL
15,MAL,MAL,MAL,MAL,MAL,MAL
16,OK,OK,OK,OK,OK,OK
17,OK,MAL,OK,OK,OK,OK
18,OK,OK,OK,OK,OK,OK
19,OK,OK,OK,OK,OK,OK
20,MAL,MAL,MAL,MAL,MAL,MAL
