Hoja,Id,Legajo,Nombre_apellido,Parcial_1,Parcial_2,Parcial_3,Condicion_final
1,1,OK,OK,OK,OK,OK,OK
1,2,OK,OK,OK,OK,OK,OK
1,3,MAL,MAL,MAL,MAL,MAL,MAL
1,4,MAL,MAL,OK,OK,OK,OK
1,5,MAL,MAL,OK,OK,OK,OK
1,6,OK,MAL,OK,OK,OK,OK
1,7,MAL,MAL,OK,OK,OK,OK
1,8,OK,MAL,OK,OK,OK,OK
1,9,MAL,MAL,OK,OK,OK,OK
1,10,MAL,MAL,OK,OK,OK,OK
1,11,MAL,MAL,MAL,MAL,MAL,MAL
1,12,MAL,MAL,OK,OK,OK,OK
1,13,MAL,OK,OK,OK,OK,OK
1,14,MAL,MAL,MAL,MAL,MAL,MAL
1,15,MAL,MAL,MAL,MAL,MAL,MAL
1,16,MAL,MAL,OK,OK,OK,OK
1,17,MAL,MAL,OK,OK,OK,OK
1,18,MAL,OK,OK,OK,OK,OK
1,19,MAL,MAL,OK,OK,OK,OK
1,20,MAL,MAL,MAL,MAL,MAL,MAL
2,1,OK,MAL,OK,OK,OK,OK
2,2,OK,OK,OK,OK,OK,OK
2,3,MAL,MAL,OK,OK,OK,OK
2,4,OK,MAL,OK,OK,OK,OK
2,5,MAL,MAL,OK,OK,OK,OK
2,6,OK,MAL,OK,OK,MAL,OK
2,7,MAL,MAL,OK,OK,OK,MAL
2,8,OK,MAL,OK,OK,OK,OK
2,9,MAL,MAL,OK,OK,OK,OK
2,10,MAL,MAL,MAL,OK,MAL,MAL
2,11,MAL,MAL,MAL,MAL,MAL,MAL
2,12,MAL,MAL,OK,OK,OK,MAL
2,13,MAL,MAL,MAL,OK,OK,OK
2,14,MAL,MAL,MAL,MAL,MAL,MAL
2,15,MAL,MAL,MAL,MAL,MAL,MAL
2,16,MAL,MAL,MAL,OK,OK,OK
2,17,MAL,OK,OK,OK,OK,MAL
2,18,MAL,MAL,OK,OK,OK,OK
2,19,MAL,MAL,OK,OK,MAL,OK
2,20,MAL,MAL,MAL,MAL,MAL,MAL
3,1,OK,MAL,OK,OK,OK,OK
3,2,OK,OK,OK,OK,MAL,OK
3,3,MAL,MAL,OK,OK,OK,OK
3,4,OK,MAL,OK,OK,OK,MAL
3,5,MAL,MAL,OK,OK,OK,OK
3,6,OK,MAL,OK,OK,MAL,OK
3,7,MAL,MAL,OK,OK,OK,MAL
3,8,OK,MAL,OK,OK,OK,OK
3,9,MAL,MAL,OK,OK,OK,OK
3,10,MAL,MAL,MAL,OK,MAL,MAL
3,11,MAL,MAL,MAL,MAL,MAL,MAL
3,12,MAL,MAL,OK,OK,OK,MAL
3,13,MAL,MAL,MAL,OK,OK,OK
3,14,MAL,MAL,MAL,OK,OK,OK
3,15,MAL,MAL,OK,OK,OK,OK
3,16,MAL,MAL,OK,OK,OK,OK
3,17,MAL,MAL,OK,OK,MAL,OK
3,18,MAL,MAL,MAL,MAL,MAL,MAL
3,19,MAL,MAL,MAL,MAL,MAL,MAL
3,20,MAL,MAL,MAL,MAL,MAL,MAL
4,1,OK,MAL,OK,OK,OK,OK
4,2,OK,OK,MAL,OK,OK,OK
4,3,OK,MAL,OK,OK,OK,OK
4,4,OK,MAL,OK,OK,OK,OK
4,5,MAL,MAL,OK,MAL,OK,OK
4,6,OK,MAL,OK,OK,OK,OK
4,7,MAL,MAL,OK,OK,OK,OK
4,8,MAL,MAL,OK,OK,OK,OK
4,9,MAL,MAL,OK,OK,OK,OK
4,10,MAL,MAL,OK,MAL,MAL,MAL
4,11,MAL,MAL,OK,OK,MAL,MAL
4,12,MAL,MAL,OK,OK,OK,OK
4,13,OK,OK,OK,OK,OK,MAL
4,14,MAL,MAL,MAL,MAL,MAL,MAL
4,15,MAL,MAL,MAL,MAL,MAL,MAL
4,16,MAL,MAL,OK,OK,OK,OK
4,17,MAL,MAL,OK,OK,OK,OK
4,18,MAL,OK,OK,OK,OK,OK
4,19,MAL,MAL,OK,OK,OK,OK
4,20,MAL,MAL,MAL,MAL,MAL,MAL
